title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
"Controls Technician, Sustaining",Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/fb384382-b29f-4bfc-b988-f3036f4efe30,"The role requires experience in control system programming, commissioning, and troubleshooting. The candidate will be responsible for the maintenance and continuous improvement of equipment used to manufacture iron-air batteries, working collaboratively with technical and operational teams.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Electrical Engineering, Mechanical Engineering, Chemical Engineering, Industrial & Systems Engineering, Computer Science",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Control Systems, Programming, Commissioning, Troubleshooting, Automation, Manufacturing, Continuous Improvement",,Ashby API,2026-02-14T19:19:29.507341
"SCADA Technician, Sustaining",Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/635fac79-32cb-499a-955f-efbdbfcb4c12,"The candidate should have experience in SCADA and HMI programming, commissioning, and troubleshooting. They will be responsible for maintenance and continuous improvement of SCADA and HMI applications for novel equipment used to manufacture Form Energy’s Iron-Air battery.","Electricity, Manufacturing, Energy","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Distributed Storage, Electrified Chemical Processes","Electrical Engineering, Mechanical Engineering, Chemical Engineering, Computer Science, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","SCADA, HMI Programming, Troubleshooting, Commissioning, Controls Engineering, Manufacturing Control Systems, Automation",,Ashby API,2026-02-14T19:19:29.507395
Staff Inventory Control Analyst,Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/7c963a99-527e-459f-845a-f4fed61f7cc1,"The candidate needs experience in inventory control within a manufacturing facility and must ensure data parity between Oracle ERP, WMS, and MES. Experience with root cause corrective action (RCCA) on system posting failures is also required.","Electricity, Manufacturing, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Industrial & Systems Engineering, Supply Chain & Logistics, Business Administration & Management, Management Science & Engineering, Data Science & Machine Learning",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology to keep the electric grid secure and reliable.","Inventory Control, Data Analysis, Oracle ERP, WMS, MES, RCCA, Supply Chain Management, Process Engineering",,Ashby API,2026-02-14T19:19:29.507446
"Staff Process Engineer, Operations",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/d3ad110f-1a7a-4632-a624-512c0c967710,"The role requires experience in optimizing production processes, reducing costs, and improving quality and efficiency. Strong collaboration skills are needed to work with cross-functional teams to identify and solve production issues.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Long-Duration Storage, Electrified Chemical Processes","Chemical Engineering, Mechanical Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Electrical Engineering",,,yearly,"Form Energy is a company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Process Optimization, Data Analysis, Cross-functional Collaboration, Quality Improvement, Process Development, Manufacturing Processes, Root Cause Analysis, Statistical Process Control",,Ashby API,2026-02-14T19:19:29.507490
"Process Technician, Electrical",Form Energy,"Weirton, WV",Entry-Level,https://jobs.ashbyhq.com/formenergy/f5b3736d-8309-406e-b30e-18fac9a5dcde,"The Process Technician, Electrical will maintain and troubleshoot electrical equipment, focusing on electrical testing equipment. This role requires experience with electrical troubleshooting using a multimeter and standard test equipment.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Distributed Storage, Electrified Chemical Processes","Electrical Engineering, Mechanical Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Engineering Physics",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Electrical Troubleshooting, Equipment Maintenance, Electrical Testing, Panel Wiring, Multimeter, Corrective Actions",,Ashby API,2026-02-14T19:19:29.507539
"Equipment Planner, Spare Parts",Form Energy,"Weirton, WV",Entry-Level,https://jobs.ashbyhq.com/formenergy/85537c4a-8b1e-4163-968c-4a3048884560,"The role requires experience in developing and implementing a spare parts program, managing inventory, and generating quotes from vendors. Strong organizational and communication skills are essential for maintaining accurate records and collaborating with suppliers.","Electricity, Manufacturing, Energy","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Long-Duration Storage, Electrified Chemical Processes","Industrial & Systems Engineering, Mechanical Engineering, Electrical Engineering, Supply Chain & Logistics, Business Administration & Management",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Spare parts management, Inventory control, Vendor management, Supply chain, Equipment maintenance, Data analysis, Cost savings, Standardization",,Ashby API,2026-02-14T19:19:29.507584
"Staff Equipment Engineer, Operations",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/b959bae9-a8a0-4084-a65f-c1253d6e7927,"The role requires deep familiarity with manufacturing equipment to ramp up production while maintaining quality. It involves optimizing first-of-its-kind equipment, troubleshooting issues, and designing creative tooling that minimizes downtime and enables a highly efficient process. Experience with robotic and automated manufacturing equipment is essential.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Chemical Engineering, Industrial & Systems Engineering, Materials Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Robotics, Automation, Manufacturing Equipment, OEE, Troubleshooting, Process Optimization, Maintenance, Continuous Improvement",,Ashby API,2026-02-14T19:19:29.507625
Production Supervisor,Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/046dfa9b-fd13-4d77-8c9c-4adcec767644,"The role requires experience in manufacturing, specifically in production line oversight and team management. Strong operational expertise in a dynamic manufacturing environment is necessary, along with continuous improvement culture mindset.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Engineering: Mechanical Engineering, Engineering: Chemical Engineering, Engineering: Industrial & Systems Engineering, Trades: Mechanical & Industrial Trades, Business: Management Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day iron-air battery technology.","Production Management, Team Leadership, Manufacturing Operations, Continuous Improvement, Problem Solving, Process Optimization",,Ashby API,2026-02-14T19:19:29.507674
MES Tech,Form Energy,"Weirton, WV",Entry-Level,https://jobs.ashbyhq.com/formenergy/a269f988-5dd4-4aa9-9fba-38e13b17ec09,"The MES Technician will provide first-tier support for MES operations on the production lines, troubleshoot MES issues, and act as a liaison between the factory floor and the MES development team. Experience with basic network and device troubleshooting is required.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Computer Science, Industrial & Systems Engineering, Electrical Engineering, Mechanical Engineering, Engineering Physics",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Troubleshooting, MES, Manufacturing Software, Network Troubleshooting, Hardware Troubleshooting, Technical Support",,Ashby API,2026-02-14T19:19:29.507726
"Senior Manager, Mechanical Engineering, Integration",Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/34f37416-08ab-4f2a-ac3e-fe719328aef6,"The candidate should have experience in pack design, mechanical and electrical integration, and managing engineering teams. They must be able to resolve technical trade-offs and ensure designs meet product requirements.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Chemical Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Mechanical Engineering, Electrical Engineering, Integration, Team Management, Pack Design, Product Development, Manufacturing, Technical Leadership",,Ashby API,2026-02-14T19:19:29.507772
